id,user_id,achievement_id,current_progress,target_progress,is_completed,completed_at,metadata,created_at,updated_at
00eb9c28-204d-463b-8d7f-d473c49fb270,54e79a05-59f7-4cc8-b67f-f522a1b452e4,e4540d74-d3fe-4cf3-8e51-0cf7170b6c0a,0,1,false,2025-10-05 05:14:12.332971+00,{},2025-10-05 05:07:57.257828+00,2025-10-05 05:20:29.969177+00
010202af-7d29-46a4-bf21-229447379988,953666c4-4b76-4d52-8332-6be7323c0f55,5ca1b83c-a17a-4338-8b2f-d7e6c95b7ad1,0,10,false,,{},2025-10-05 05:07:57.257828+00,2025-10-05 05:10:12.906964+00
0249563b-603b-4906-8ce3-e62b7fee1aa4,9756b78f-ba05-416f-a90d-e35916b3d780,855d4ea5-5c4e-47f2-99ae-b39f8d2c17b4,0,1,false,,{},2025-10-05 05:07:57.257828+00,2025-10-05 05:10:12.906964+00
0280dffc-e410-429d-a614-f727bee39f60,46e25388-417a-4d84-9f3d-fb59c804304d,c2982f54-45b5-4728-bfad-5ce022eb9591,0,1,false,,{},2025-10-05 05:07:57.257828+00,2025-10-05 05:10:12.906964+00
03091aa2-fde0-4be7-8798-e04cdeaeca04,840f99c4-7479-4098-9c2e-474a695178f0,dea78da3-e8d7-4a51-bf45-479a5a340d0e,0,30,false,,{},2025-10-05 05:07:57.257828+00,2025-10-05 05:10:12.906964+00
0310b701-cad1-45cd-9f99-145d1eba9dbe,7558a9c8-67c7-4c88-968e-f6a5e193d48c,6ba5c287-e36c-44b9-aa4a-2f6eb6dc9e51,0,7,false,,{},2025-10-05 05:07:57.257828+00,2025-10-05 05:10:12.906964+00
032e9afb-25c6-4875-819a-30c8f89463f0,1f63bfc3-62d7-48cb-b497-6699cb7d2037,e3eafc65-7170-49eb-8981-624b2838ffd7,0,1,false,,{},2025-10-05 05:07:57.257828+00,2025-10-05 05:10:12.906964+00
049d05c2-34dc-4a6e-adb2-f36b606e673a,07f4a049-faf4-4852-8512-6ef64f2966ff,1d30c5ca-b0c5-41b6-9dca-64a943532430,0,10,false,,{},2025-10-05 05:07:57.257828+00,2025-10-05 05:10:12.906964+00
04fe5bfe-5d4f-4913-a07c-8d254a708554,550a3a3f-9898-4e9c-b620-dd4b6ebaa8c4,6541c1e1-1225-4440-a9f9-53b851c73f62,0,1,false,,{},2025-10-05 05:07:57.257828+00,2025-10-05 05:10:12.906964+00
0527e495-3083-40c1-824b-248d2cd013d4,a57eeb22-a246-4243-8e32-98297c6f3bad,c2982f54-45b5-4728-bfad-5ce022eb9591,0,1,false,,{},2025-10-05 05:07:57.257828+00,2025-10-05 05:10:12.906964+00
0537a6ae-4e80-4815-9410-52bb835ced27,840f99c4-7479-4098-9c2e-474a695178f0,e7a32785-434d-4493-8311-30397dab1981,0,5,false,,{},2025-10-05 05:07:57.257828+00,2025-10-05 05:10:12.906964+00
05fe4387-f2c0-4565-b395-49cd7200ffeb,5697f078-c2f5-4da6-bb6c-db9ec9764d41,52829c7d-2c04-4f19-9292-090b5c9425d3,0,10,false,,{},2025-10-05 05:07:57.257828+00,2025-10-05 05:10:12.906964+00
066b7207-056f-4f09-a3ad-3ac446328c80,953666c4-4b76-4d52-8332-6be7323c0f55,a9200849-a50b-428d-9443-323985f498eb,0,1000,false,,{},2025-10-05 05:07:57.257828+00,2025-10-05 05:10:12.906964+00
