id,instrumento_id,pergunta,opcoes,resposta_correta,respostas_corretas,tipo_pergunta,arquivo_audio,imagem_url,tempo_limite_segundos,explicacao,dificuldade,categoria,ativo,created_at
001f17ef-2ae7-4198-bcd2-c5dd74dd6c75,fb125188-c48e-4d89-a46e-11c3b600dabd,Em que país surgiu o violino moderno?,"[""França"", ""Itália"", ""Alemanha"", ""Inglaterra""]",Itália,,multipla_escolha,,,30,"O violino moderno surgiu na Itália durante o século XVI, especificamente em Cremona.",facil,historia,true,2026-02-13 17:39:51.350782
017d10bc-8d1d-4316-8b0e-6d253f42625b,35da6877-2528-4f37-9ab4-b44893ad1dbf,Como se chama a peça interna do violino?,"[""Cavalete"", ""Alma"", ""Pestana"", ""Cravelha""]",Alma,,multipla_escolha,,,30,A alma é um bastão interno que afeta o timbre e projeção.,medio,tecnica,true,2026-02-13 17:39:51.350782
019c071e-3cb2-4321-942b-1b11a645cf95,e48ad87b-d237-45e4-a707-05374c4240fa,Quantas cordas possui um violino?,"[""3"", ""4"", ""5"", ""6""]",4,,multipla_escolha,,,30,O violino possui quatro cordas afinadas em Sol-Ré-Lá-Mi.,facil,tecnica,true,2026-02-13 17:39:51.350782
01bcf247-f854-4d03-a6a1-000aa0e87fc2,d7c80fe1-ab43-4920-b2aa-d9b4f3ace166,Mozart compôs um famoso concerto para clarinete?,"[""Verdadeiro"",""Falso""]",,"[""Verdadeiro""]",verdadeiro_falso,,,30,"Mozart compôs o Concerto em Lá maior, K. 622, para clarinete.",facil,historia,true,2025-06-15 18:41:05.950814
02a500d5-90a9-416f-aed7-c0c52b525860,11a7bc0c-232f-40dc-92ac-4d15aebd2d52,Em que país surgiu o violino moderno?,"[""França"", ""Itália"", ""Alemanha"", ""Inglaterra""]",Itália,,multipla_escolha,,,30,"O violino moderno surgiu na Itália durante o século XVI, especificamente em Cremona.",facil,historia,true,2026-02-13 17:39:51.350782
0304cec4-3aba-4ebf-a9b3-61b9e53e69a2,9b42a23b-ac7f-42e1-8a04-bde4c525fbde,Como são produzidos os harmônicos no oboé?,"[""Controle da coluna de ar e embocadura"",""Pressão das chaves"",""Toque na campana"",""Uso do pedal""]",,"[""Controle da coluna de ar e embocadura""]",multipla_escolha,,,30,Harmônicos surgem com ajuste da embocadura e controle do ar.,medio,tecnica,true,2025-06-20 13:35:33.950749
03848f50-af0e-4236-aaf5-4b1d35e663ef,1b699036-0f72-4c48-9801-e01f6f25e165,Como se chama a peça interna do violino?,"[""Cavalete"", ""Alma"", ""Pestana"", ""Cravelha""]",Alma,,multipla_escolha,,,30,A alma é um bastão interno que afeta o timbre e projeção.,medio,tecnica,true,2026-02-13 17:39:51.350782
04b707d8-5b32-489f-be43-8003c8e766e0,453ca164-6f0e-4554-b008-dd68bf4586c2,Qual luthier é considerado o mais famoso?,"[""Giuseppe Guarneri"", ""Antonio Stradivarius"", ""Andrea Amati"", ""Nicolò Amati""]",Antonio Stradivarius,,multipla_escolha,,,30,Antonio Stradivarius é considerado o maior luthier da história.,facil,historia,true,2026-02-13 17:39:51.350782
059be357-dcf5-4054-a028-eaca5af30b9c,87ee66bf-bb70-4e70-9aa3-4bff514ced4e,Qual técnica oscila a afinação?,"[""Pizzicato"", ""Staccato"", ""Vibrato"", ""Legato""]",Vibrato,,multipla_escolha,,,30,O vibrato produz oscilação controlada da afinação.,medio,tecnica,true,2026-02-13 17:39:51.350782
05c2b1ef-b9d2-4f44-a5f8-6de2dc37a646,26cadf44-6d7b-4f9b-85d6-6b2c40715f45,O vibrato no saxofone é feito pela variação da pressão da mandíbula.,"[""Verdadeiro"",""Falso""]",,"[""Verdadeiro""]",verdadeiro_falso,,,30,O vibrato no saxofone é geralmente produzido pela oscilação da mandíbula inferior.,facil,tecnica,true,2025-06-16 02:27:56.351591
