id,aula_id,tipo,descricao,created_at,updated_at
0002aafe-b54d-4c14-ab30-7ebba1e80b35,b154f8a4-d7be-40b8-8bde-c64d409bde2b,principal,Formação de grupos — Organização para as próximas aulas.,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
0143eb94-1055-4577-ae2a-862edbe1c051,b154f8a4-d7be-40b8-8bde-c64d409bde2b,principal,"Tour pelo app — Como postar, comentar e acessar materiais.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
017ac26b-b6bd-4ed5-907b-6042e7757c3b,d5414bcb-4d76-4cb0-bf0a-8f166cca5b47,principal,"Atividade Principal — Repetição dos exercícios da última aula com feedback. Fixação técnica: tocar primeiras notas em sequência, trocando corda/posição. Atividade em duplas/trios: tocar e ouvir o colega. Desafio coletivo: manter ritmo juntos por 1 min (metrônomo/palma). Prática de acompanhamento simples.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
06a6e554-5d94-44ec-b192-307e4b789977,65e4f168-9b96-41e4-b0e7-a79d090fa7aa,abertura,Abertura/Integração — Roda de conversa: O que aprenderam sobre estilos brasileiros? Quiz rápido sobre ritmos e regiões.,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
0a816712-73a5-4b88-9ef6-28357a42a163,9ae951f2-e006-4afd-a07e-1ad588afcd09,alpha,"Atividade App/Desafio Alpha — Gravar vídeo mostrando o processo de afinação do próprio instrumento, explicar uma dica de manutenção no app e comentar no vídeo de outro colega.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
0ec81c2c-4eef-4436-975f-3a97ab0e11e9,a7d5335f-94f1-4646-8bc4-cc0c4cd663ea,abertura,Abertura/Integração — Breve devocional e boas-vindas à comunidade. Apresentação dos objetivos do show e agradecimentos iniciais.,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
19a37fae-32c7-4c46-90cc-1a092275446a,b9d6f98c-1f40-42de-b346-0c5e18eac1f5,alpha,Atividade App/Desafio Alpha — Gravar vídeo em grupo executando um jogo rítmico aprendido hoje. Postar no app com legenda da dinâmica e comentar no vídeo de outro colega.,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
19ec5130-1fde-42d8-8f4c-d80f2bfb62dc,37b53845-821a-4d7e-9b13-2598e34a42ff,alpha,Atividade App/Desafio Alpha — Cada aluno grava um vídeo em casa segurando corretamente o instrumento e tirando o primeiro som. Deve comentar no vídeo de um colega. Professores sugerem assistir a vídeo de músicos/professores famosos explicando postura (link no app).,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
1cd39aef-e367-4483-aaa7-6ab546d1bb7e,37b53845-821a-4d7e-9b13-2598e34a42ff,principal,"Atividade Principal — Demonstração coletiva dos instrumentos disponíveis (violão, teclado, flauta, violino, etc), nomeando as partes. Explicação e demonstração da postura correta. Empunhadura prática com todos experimentando, correção individual, e orientação para produzir o primeiro som aberto no instrumento. Atividade lúdica: Desafio do som perfeito. Prática em grupo: toque simultâneo, formando uma orquestra de um som, escuta e sincronia. Tente um ostinato coletivo simples, se possível.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
1dc9d020-a7b0-463f-a915-e1887b42106a,65e4f168-9b96-41e4-b0e7-a79d090fa7aa,alpha,"Atividade App/Desafio Alpha — Gravar vídeo em grupo tocando um novo arranjo brasileiro. Postar no app com legenda sobre a região/estilo, comentar no vídeo de outro grupo.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
1f77e80a-0018-4417-a9a3-520d89f2f3dd,c368b564-6704-4c95-9d82-b2672babead5,abertura,"Abertura/Integração — Roda de conversa: o que é harmonia? Escuta de músicas simples (gospel, pop, sertanejo) para identificar acordes.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
216aa5e0-a04a-4da4-ab3f-92d362107347,1f48497c-d8e0-4a9b-b9d1-75b3df353047,abertura,Abertura/Integração — Dinâmica: cada aluno cria um som curto/gesto musical e o grupo responde. Conversa breve sobre diferença entre improvisar e compor.,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
234519a7-54ba-41c7-9a59-11c0bb29632b,ec18f04f-e44f-4a0f-97d1-bb4eadb3931a,principal,"Atividade Principal — Execução do repertório completo da apresentação final. Identificação de pontos fortes e fracos. Ajustes técnicos de postura, afinação e sincronia.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
238b1a17-44dc-4681-bd99-982be3526a8a,fe1d98e4-3a4c-4cd2-a68e-b5b3a8e2e51c,alpha,"Atividade App/Desafio Alpha — Gravar um trecho da apresentação do grupo, postar no app e comentar em ao menos 2 apresentações de outros grupos.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
2a327c40-4ec9-4c95-a17a-4490d2e3c9be,b154f8a4-d7be-40b8-8bde-c64d409bde2b,abertura,"Boas-vindas e apresentação do projeto — Visão geral, valores e combinados.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
2b7d73a7-f561-44f1-a723-c83f364460c5,f925d0ab-4eb4-4502-aad5-5b617d0db260,abertura,Abertura/Integração — Debate inicial: como os clipes musicais impactam nossa forma de ver música? Exibição de exemplos de videoclipes criativos e simples.,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
2de53964-83fb-4250-9590-2aad1e351492,923053d3-e54a-4698-9517-a46397c0584c,alpha,Atividade App/Desafio Alpha — Postar no app um vídeo do arranjo pop/TikTok criado pelo grupo. Legendar com o nome da música escolhida e comentar em duas postagens de outros grupos.,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
313744dc-ea96-4226-8dcd-a81d7a60470d,5b8d46c4-0bed-4f6b-b743-615035679b6b,alpha,"Atividade App/Desafio Alpha — Gravar vídeo tocando música do repertório (grupo/solo). Postar no app, comentar sobre estilo/dificuldade, assistir e comparar versão profissional.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
3414cfb4-9443-4378-9cfc-f64fe1c8d90b,2a1cd10b-89d2-45f0-a051-93cdf98bc888,principal,"Atividade Principal — Divisão dos alunos em bandas pequenas ou duplas. Cada grupo escolhe 1 música simples para ensaiar. O professor acompanha, orientando arranjo, entrada e saída. Final: mini-apresentações internas.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
353b66e8-ddb9-444d-bc80-3a5cfc51a8ec,86fcfcbc-59fb-4769-8435-8bc12d2ed432,alpha,Roda de feedback e lançamento do Desafio Alpha — O que foi divertido/difícil? Lançar desafio da semana.,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
39df41f2-dfc9-412c-926b-fbead2355cad,f4ef0c67-c714-4152-a0c3-644d09d94d9d,alpha,"Atividade App/Desafio Alpha — Gravar e postar no app um loop ou trecho musical feito com celular/tablet. Pode ser ritmo, melodia ou combinação de sons. Comentar em pelo menos 2 criações de colegas.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
3b4b6cdf-5060-4390-baab-4b3fc17a747f,a7d5335f-94f1-4646-8bc4-cc0c4cd663ea,principal,"Atividade Principal — Execução do repertório completo em formato de show. Inclusão de solos, arranjos coletivos e momentos especiais (aplausos, agradecimentos e interação com público).",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
3dfe3880-b36b-4d95-8648-63b8d17c70a3,d5414bcb-4d76-4cb0-bf0a-8f166cca5b47,alpha,Atividade App/Desafio Alpha — Gravar vídeo tocando as notas/sons da aula (sozinho ou em grupo). Enviar pelo app até a próxima aula e comentar em 1 vídeo de colega. Professores sugerem vídeo de referência sobre acompanhamento.,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
4128bbf5-91dd-441e-ad0e-e0306aecfb27,86fcfcbc-59fb-4769-8435-8bc12d2ed432,principal,Dinâmica de nomes e sons corporais — Cada participante diz o nome e faz um som do corpo.,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
4238af6b-0ffc-4715-aca7-1e95166d7f2e,5b8d46c4-0bed-4f6b-b743-615035679b6b,principal,"Atividade Principal — Prática de repertório em grupo (músicas simples). Trabalho em subgrupos: acompanhamento, ritmo, melodia, canto. Arranjo coletivo e rodízio de papéis.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
44fe1db4-4c2b-4b41-abaf-2b1a14252d66,a7d5335f-94f1-4646-8bc4-cc0c4cd663ea,final,Encerramento — Roda de celebração: cada aluno compartilha um aprendizado e um agradecimento. Professores fazem a entrega simbólica de certificados ou menções honrosas.,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
47890806-ec62-436f-ab56-31bbf4433b72,9ae951f2-e006-4afd-a07e-1ad588afcd09,principal,"Atividade Principal — Demonstração de afinação em diferentes instrumentos; atividade prática: cada aluno afina seu instrumento (com afinador, app ou de ouvido); roda de dicas de manutenção e limpeza; checklist do cuidado básico com cada instrumento.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
588c5228-ab47-42d0-91dc-3eb3937d7332,1168d1e0-4f46-4970-876e-6dc5f2d1f21c,abertura,Abertura/Integração — Apresentação cultural: breve vídeo ou imagens sobre a música japonesa. Roda de conversa: o que já ouviram sobre música do Japão?,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
5d3b9d43-c4e8-4f3c-a978-4e4381f595bc,5b8d46c4-0bed-4f6b-b743-615035679b6b,abertura,"Abertura/Integração — Roda de conversa sobre samba, baião, gospel. Audição de trechos, escuta ativa para identificar instrumentos e ritmos.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
6053e9d4-4ff1-4501-8470-2cb4eea3ceeb,494c3d0d-692b-4509-b90b-b92bd1345eb1,alpha,"Atividade App/Desafio Alpha — No app, postar uma mensagem ou vídeo de motivação para os colegas, destacando o que mais o anima para o show. Curtir e comentar em 3 postagens de colegas.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
62a3bba7-1100-4f4e-8622-e8107473938f,1e357f0c-44ee-4f3b-a39a-851d4f5220b6,alpha,"Atividade App/Desafio Alpha — Gravar áudio ou vídeo da melodia criada, postar no app, comentar no trabalho de outro grupo/colega.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
636c4fc0-c3e6-4c08-b8f0-e1fe0b7336e3,2a1cd10b-89d2-45f0-a051-93cdf98bc888,alpha,Atividade App/Desafio Alpha — Cada banda/dupla posta no app um vídeo curto ensaiando ou apresentando sua música escolhida. Legendar com o nome do grupo e comentar em duas outras postagens.,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
65e04032-5a98-48ff-aceb-5f1c161e964f,f4ef0c67-c714-4152-a0c3-644d09d94d9d,principal,"Atividade Principal — Demonstração prática de apps de gravação (BandLab, GarageBand, FL Mobile, etc.). Alunos criam em duplas um loop rítmico ou melódico simples. Compartilhamento em sala e discussão sobre dificuldades/encontradas.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
669ffbdf-78c7-4395-9ce5-ad95fda77dfd,1168d1e0-4f46-4970-876e-6dc5f2d1f21c,alpha,Atividade App/Desafio Alpha — Postar no app um vídeo em grupo tocando ou cantando uma música japonesa aprendida em aula. Escrever uma legenda com curiosidade cultural e comentar em outra postagem.,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
6cabad15-9987-4ab5-b747-8f7e55ff8277,eb103e6c-7aa9-43ab-8b2e-ac7dfcde918f,abertura,Abertura/Integração — Dinâmica de confiança: cada aluno simula subir ao palco e se apresentar em 10 segundos. Conversa sobre nervosismo e como lidar com ele.,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
6d0b7b12-c73e-495e-8811-a234de47ce9f,2b58068f-1294-44e2-b9b9-365ef995372d,abertura,"Abertura/Integração — Revisão das figuras rítmicas, jogo de leitura no quadro, quiz relâmpago sobre valores das figuras.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
6ecee88c-902a-49ac-8bd2-a7a08aa174f9,65e4f168-9b96-41e4-b0e7-a79d090fa7aa,principal,"Atividade Principal — Prática de novas músicas do repertório; arranjo coletivo; dividir o grupo em seções (acompanhamento, melodia, canto); troca de papéis e tentativa de tocar juntos sem professor liderando; estimular improviso.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
6f362e3c-afaa-4355-ab52-0b46b675aced,eb103e6c-7aa9-43ab-8b2e-ac7dfcde918f,principal,"Atividade Principal — Divisão dos grupos e escolha do repertório a ser apresentado. Ensaio coletivo com feedback do professor. Treino de entradas, saídas e comunicação em palco. Mini-performance em sala para simular apresentação real.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
