id,aula_id,titulo,descricao,publico_alvo,criterios_avaliacao,criado_em,created_at,updated_at
11417aa7-242e-439e-835f-8f68b82e7edd,57abf3d9-0c1a-4903-a518-81d88c4b7544,Desafio Alpha — Aula 21: Revisão Geral,Poste no app um vídeo curto dizendo o que mais aprendeu até agora e o que deseja melhorar. Comente em dois vídeos de colegas.,aluno,Participação na revisão coletiva; Capacidade de identificar aprendizados e dificuldades; Cumprimento do desafio Alpha; Contribuição no feedback coletivo,2025-12-09 19:11:21.597925,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
19d22bcc-b128-445d-bf4f-9c3cb824002e,a7d5335f-94f1-4646-8bc4-cc0c4cd663ea,Desafio Alpha — Aula 29: Show Final/Aula de Encerramento,"No app, poste uma foto ou vídeo pessoal do show com uma mensagem de encerramento: o que mais aprendeu e o que deseja para o próximo ciclo.",aluno,Participação ativa no show; Expressividade artística; Cumprimento do desafio Alpha; Integração com colegas e comunidade,2025-12-09 19:11:21.597925,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
1bb6f3cd-b175-4a65-8b86-efcd77f61600,59d864ba-84ca-47e1-b31d-b5819021a986,Desafio Alpha — Aula 27: Avaliação Criativa,"No app, poste um resumo da sua experiência na roda Alpha, com um ponto de evolução pessoal e uma meta para a apresentação final.",aluno,Participação nas mini-apresentações; Clareza e respeito no feedback; Cumprimento do desafio Alpha; Capacidade de autoavaliação,2025-12-09 19:11:21.597925,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
2d619029-91d7-4e33-90c1-d7725ae225ea,1e357f0c-44ee-4f3b-a39a-851d4f5220b6,Desafio Alpha — Aula 12: Melodia Criativa,"Grave áudio ou vídeo de uma melodia criada em grupo ou dupla, poste no app e comente no trabalho de outro grupo/colega.",aluno,Criatividade e originalidade da melodia; Engajamento na composição em grupo; Cumprimento e postagem do desafio Alpha; Capacidade de comentar construtivamente em outro trabalho,2025-12-09 19:11:21.597925,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
2ed6ba70-c70a-4e2b-81ef-c311d6c9eda6,eb103e6c-7aa9-43ab-8b2e-ac7dfcde918f,Desafio Alpha — Aula 20: Performance de Grupos,"Grave e poste no app um trecho da performance do seu grupo, legendando com o nome da música e função de cada integrante. Comente em pelo menos 2 grupos diferentes.",aluno,Participação nos ensaios; Segurança e postura de palco; Cumprimento do desafio Alpha; Integração e sincronia em grupo,2025-12-09 19:11:21.597925,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
37f4e15f-1f4c-47c4-9ffb-01a582789acf,c23b8c68-a284-4c6d-82c8-8f54d00b3e00,Desafio Alpha — Aula 2: Sons do Dia a Dia (Orff),"Grave um vídeo criando uma “música” só com sons do ambiente (cozinha, quarto, quintal), usando no mínimo 3 objetos diferentes. Poste no app até a próxima aula e comente no vídeo de ao menos 1 colega.",aluno,Participação ativa nas atividades de grupo; Criatividade na escolha/combinação dos objetos; Cumprimento e postagem do desafio Alpha no app,2025-12-09 19:11:21.597925,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
3c9c2d38-477d-47df-9f84-b4364d269c3f,f925d0ab-4eb4-4502-aad5-5b617d0db260,Desafio Alpha — Aula 24: Produção de Vídeo Musical,"Poste no app um vídeo musical criado em grupo (com bastidores, se possível), escreva uma curiosidade na legenda e comente em dois vídeos de colegas.",aluno,Participação na produção do vídeo; Criatividade no audiovisual; Cumprimento do desafio Alpha; Colaboração entre colegas,2025-12-09 19:11:21.597925,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
42b97ac3-b949-43a7-b87a-993f5acab7be,b9d6f98c-1f40-42de-b346-0c5e18eac1f5,Desafio Alpha — Aula 5: Jogo de Ritmos e Grupos,"Grave um vídeo em grupo executando um jogo rítmico aprendido hoje (Jogo do Maestro, Ritmos em Roda, etc), poste no app com legenda explicando a dinâmica e comente em outro vídeo.",aluno,Coordenação e resposta rápida nos jogos; Participação ativa em grupo; Cumprimento e postagem do desafio Alpha no app; Cooperação/apoio entre os colegas,2025-12-09 19:11:21.597925,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
4cec64bd-6b84-426a-a914-4874104f6fd4,1f48497c-d8e0-4a9b-b9d1-75b3df353047,Desafio Alpha — Aula 17: Improvisação Guiada,"Grave uma improvisação de até 1 minuto (voz, instrumento ou sons do corpo), poste no app e comente em dois vídeos de colegas.",aluno,Participação na improvisação coletiva; Criatividade e originalidade ao improvisar; Cumprimento e postagem do desafio Alpha; Colaboração e respeito ao improviso do colega,2025-12-09 19:11:21.597925,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
591ed9d2-f719-4ca5-9b10-7136e97205c0,c368b564-6704-4c95-9d82-b2672babead5,Desafio Alpha — Aula 13: Harmonia na Prática,"Grave um vídeo tocando uma progressão simples (ex: C – F – G – C), poste no app e comente em dois vídeos de colegas.",aluno,Identificação de acordes maiores e menores; Execução de progressão simples; Participação na prática coletiva; Cumprimento e postagem do desafio Alpha,2025-12-09 19:11:21.597925,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
5d15d08b-0f19-4270-897c-d0cc59c1287d,3d52bedb-3cb0-4ccc-86bf-6eddd4632364,Desafio Alpha — Aula 15: Semana Criativa,"Poste no app uma criação experimental (vídeo/áudio), pode ser melodia, ritmo ou som inusitado, e comente em duas criações de colegas.",aluno,Participação ativa na experimentação; Originalidade e liberdade criativa; Compartilhamento no app; Capacidade de dar feedback positivo aos colegas,2025-12-09 19:11:21.597925,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
6b855338-a37f-4bd4-b264-a238598c27c8,fe1d98e4-3a4c-4cd2-a68e-b5b3a8e2e51c,Desafio Alpha — Aula 10: Revisão e Mostra de Grupos,"Grave um trecho da apresentação do seu grupo, poste no app e comente em pelo menos 2 apresentações de outros grupos.",aluno,Participação e preparação para apresentação; Expressão musical em grupo; Cumprimento do desafio Alpha; Capacidade de dar e receber feedback construtivo,2025-12-09 19:11:21.597925,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
86e0f242-ff3a-4fbb-b83a-814a5086cd86,d5414bcb-4d76-4cb0-bf0a-8f166cca5b47,Desafio Alpha — Aula 4: Iniciação Instrumental II,"Grave um vídeo tocando as notas/sons trabalhados na aula (sozinho ou em grupo), poste no app e comente em ao menos 1 vídeo de colega.",aluno,Postura e técnica durante a execução; Coordenação e escuta ao tocar em grupo; Cumprimento e postagem do desafio Alpha no app; Engajamento e incentivo ao colega,2025-12-09 19:11:21.597925,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
8e883389-c51a-453d-a224-dac8f429cfb0,9ae951f2-e006-4afd-a07e-1ad588afcd09,Desafio Alpha — Aula 11: Técnicas de Afinação,"Grave um vídeo mostrando como afina seu instrumento, explique uma dica de manutenção no app e comente no vídeo de outro colega.",aluno,Capacidade de afinar o instrumento corretamente; Conhecimento sobre cuidados básicos; Cumprimento do desafio Alpha; Atenção à escuta e manutenção,2025-12-09 19:11:21.597925,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
9bae3e33-bef6-43a4-9e40-9a9454dbd506,5b8d46c4-0bed-4f6b-b743-615035679b6b,Desafio Alpha — Aula 8: Repertório Brasileiro I,"Grave um vídeo tocando uma música do repertório brasileiro (grupo ou solo), poste no app e comente sobre o estilo ou dificuldade. Assista à versão profissional sugerida e comente as diferenças.",aluno,Participação na prática coletiva; Capacidade de tocar diferentes estilos; Cumprimento e postagem do desafio Alpha; Colaboração nos arranjos,2025-12-09 19:11:21.597925,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
