id,nome,categoria,descricao,imagem_url,ativo,ordem_exibicao,criado_em,historia,origem,familia_instrumental,material_principal,tecnica_producao_som,dificuldade_aprendizado,anatomia_partes,curiosidades,created_at,updated_at,deleted_at
0b9c8c6b-0e47-471c-b83b-01c931410692,Bongôs,Percussão,"Par de pequenos tambores unidos, um agudo e um grave. Som seco e rápido, essencial na música latina.",https://images.unsplash.com/photo-1569173675173-ec69723149f3?w=1200&q=80,true,202,2025-10-27 13:30:13.154686,Originados da fusão de tradições africanas e espanholas em Cuba. Jack Costanzo os popularizou nos EUA nos anos 1950.,"Cuba, final do século XIX",Percussão de Mão,Madeira + pele,Percussão com os dedos,Iniciante,{},"[""Tocados tradicionalmente entre os joelhos"", ""O menor é chamado macho e o maior hembra"", ""Essenciais no son cubano""]",2025-12-16 00:04:52.501355+00,2025-12-16 00:04:52.501355+00,
0e52514e-58c3-463a-a6e4-f71a1439f9b7,Harmônica (Gaita),Sopro,"Pequeno instrumento de palhetas livres. Som do blues, country e rock. Bob Dylan a tornou icônica.",https://images.unsplash.com/photo-1591006509090-b43d9e1bcc36?w=1200&q=80,true,404,2025-10-27 13:32:39.156989,Little Walter revolucionou a harmônica amplificada no blues. Bob Dylan a usou extensivamente. Stevie Wonder é virtuose.,"Alemanha/Áustria, início século XIX",Aerofone de Palheta Livre,Metal + plástico,Sopro e aspiração em palhetas,Iniciante,{},"[""Bob Dylan a tornou símbolo do folk"", ""Little Walter criou o blues harp amplificado"", ""Stevie Wonder é virtuose da harmônica""]",2025-12-16 00:04:52.501355+00,2025-12-16 00:04:52.501355+00,
11a7bc0c-232f-40dc-92ac-4d15aebd2d52,Reco-Reco,Percussão,Instrumento de raspagem com ranhuras. Som característico do samba e choro.,https://images.unsplash.com/photo-1578516978406-a57e83b3b8fd?w=1200&q=80,true,305,2025-10-27 13:31:23.180063,"Usado no samba e choro. Pode ser de bambu, metal ou madeira entalhada.",Brasil,Percussão de Raspagem,Madeira ou metal,Raspagem com baqueta,Iniciante,{},"[""Também chamado de querequexé"", ""Pode ser feito de gomos de bambu"", ""Muito usado no samba de raiz""]",2025-12-16 00:04:52.501355+00,2025-12-16 00:04:52.501355+00,
13912e91-7b48-4a8d-82b7-b59515c2a0d3,Gaita de Foles (Bagpipe),Sopro,Instrumento de palhetas com reservatório de ar. Som icônico da Escócia e Irlanda.,https://images.unsplash.com/photo-1619018086942-265ed48a5fcd?w=1200&q=80,true,601,2025-10-27 13:33:08.075265,Símbolo da cultura escocesa. AC/DC usou em It s a Long Way to the Top. Usado em cerimônias militares.,Escócia/Irlanda (origem antiga),Aerofone de Palheta,Couro + madeira + palhetas,Sopro no reservatório,Avançado,{},"[""AC/DC usou em Its a Long Way to the Top"", ""Símbolo nacional da Escócia"", ""Tem palhetas que tocam drones contínuos""]",2025-12-16 00:04:52.501355+00,2025-12-16 00:04:52.501355+00,
174f6ed4-3c21-444a-acfa-5149f53f2ca0,Tuba,sopro,🎺 Instrumento de sopro da família dos metais,https://images.unsplash.com/photo-1589439460791-ca0e010c5bd8?w=1200&q=80,true,16,2025-05-30 00:04:22.250942,História resumida do instrumento Tuba (a completar).,Origem a completar (região e contexto histórico).,A definir,A definir,A definir,iniciante,"{""partes"": [{""nome"": ""Parte 1"", ""descricao"": ""A completar""}, {""nome"": ""Parte 2"", ""descricao"": ""A completar""}, {""nome"": ""Parte 3"", ""descricao"": ""A completar""}, {""nome"": ""Parte 4"", ""descricao"": ""A completar""}, {""nome"": ""Parte 5"", ""descricao"": ""A completar""}, {""nome"": ""Parte 6"", ""descricao"": ""A completar""}]}",[],2025-12-16 00:04:52.501355+00,2026-02-13 16:40:07.288861+00,
1b699036-0f72-4c48-9801-e01f6f25e165,Saxofone Tenor,Sopro,"Saxofone grave, com som rouco e expressivo. John Coltrane e Stan Getz são mestres do instrumento.",https://images.unsplash.com/photo-1551798507-629020c81463?w=1200&q=80,true,50,2025-10-27 13:31:23.180063,John Coltrane levou o sax tenor a níveis espirituais. Stan Getz popularizou a bossa nova nos EUA.,"Bélgica, 1840 (Adolphe Sax)",Madeiras,Metal (latão),Palheta simples,Intermediário,{},"[""John Coltrane gravou o revolucionário A Love Supreme"", ""Stan Getz ganhou Grammy com Garota de Ipanema"", ""Sonny Rollins é considerado o titã do sax tenor""]",2025-12-16 00:04:52.501355+00,2025-12-16 00:04:52.501355+00,
1f8c0a22-f3fc-4f51-8938-6e1cc6e24f85,Flauta de Pã (Panflute),Sopro,"Conjunto de tubos de diferentes tamanhos. Som pastoral, usado na música andina.",https://images.unsplash.com/photo-1563330232-57114bb0823c?w=1200&q=80,true,602,2025-10-27 13:33:08.075265,Instrumento de Pã na mitologia grega. Zamfir a popularizou. Essencial na música andina (siku).,Grécia Antiga / Andes,Sopro Livre,Bambu ou cana,Sopro nas extremidades dos tubos,Intermediário,{},"[""Zamfir vendeu milhões de discos nos anos 1970"", ""Na mitologia grega era instrumento do deus Pã"", ""Nos Andes é chamada de siku""]",2025-12-16 00:04:52.501355+00,2025-12-16 00:04:52.501355+00,
26cadf44-6d7b-4f9b-85d6-6b2c40715f45,Saxofone,sopro,"🎷 Instrumento de sopro da família das madeiras, famoso em jazz e música popular.",https://images.unsplash.com/photo-1589196799937-ea0c9c2b9b8d?w=1200&q=80,true,9,2025-05-30 00:04:22.250942,"O saxofone foi inventado por Adolphe Sax em 1840 na Bélgica. Inicialmente concebido para bandas militares, tornou-se símbolo do jazz e da música popular no século XX.",Bélgica,Madeiras,Metal (latão) com palheta simples,Sopro de ar vibrando palheta no bocal com chaveamento para afinação.,iniciante,"{""bocal"": ""com palheta simples"", ""corpo"": ""tubo cônico de latão"", ""chaves"": ""sistema de acionamento para afinação""}","[""Popularizado por Adolphe Sax em 1840"", ""Muito usado em bandas marciais e orquestras de jazz"", ""Existe em diversos tamanhos: alto, tenor, barítono""]",2025-12-16 00:04:52.501355+00,2025-12-16 00:04:52.501355+00,
2abbd218-b737-410e-934b-f9c8f3d2b806,Alfaia,Percussão,Tambor grande do maracatu pernambucano. Som grave e poderoso.,https://images.unsplash.com/photo-1519892300165-cb5542fb47c7?w=1200&q=80,true,306,2025-10-27 13:31:23.180063,Tambor do maracatu nação. Chico Science a levou ao rock com Nação Zumbi.,"Pernambuco, Brasil",Percussão de Membrana,Madeira + pele de boi,Baquetas,Intermediário,{},"[""Chico Science misturou alfaia com rock"", ""É a base do maracatu nação"", ""Pode pesar mais de 15kg""]",2025-12-16 00:04:52.501355+00,2025-12-16 00:04:52.501355+00,
32705505-7727-4d27-b7bd-b08e7c90c233,Dulcimer Apalachiano,Corda,"Cítara americana de corpo estreito, tocada no colo. Som doce da música folk dos Apalaches.",https://images.unsplash.com/photo-1511192336575-5a79af67a629?w=1200&q=80,true,104,2025-10-27 13:29:39.373938,Desenvolvido pelos colonos dos Apalaches. Joni Mitchell o usou em algumas músicas. Som característico do folk americano.,"Estados Unidos, século XVIII",Cordas Dedilhadas,Madeira,Dedilhado,Iniciante,{},"[""Tocado apoiado no colo"", ""Joni Mitchell usou em seus álbuns"", ""Muito fácil de aprender - bom para iniciantes""]",2025-12-16 00:04:52.501355+00,2025-12-16 00:04:52.501355+00,
