id,aula_id,item,tipo,feito,created_at,updated_at
02f0dcc7-ce03-483c-86a7-529dd890108d,57abf3d9-0c1a-4903-a518-81d88c4b7544,"""Espaço para apresentações preparado""",pre,false,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
03cc1576-14eb-49e5-b20e-0f98c08cda3f,494c3d0d-692b-4509-b90b-b92bd1345eb1,"""Espaço preparado para simulação""",pre,false,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
0810a563-722b-4ed0-a00a-57256ef4f7a4,b154f8a4-d7be-40b8-8bde-c64d409bde2b,"""App testado nas contas dos alunos""",pre,false,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
0d65f651-2c4f-4d03-943c-68673e7e7efd,1e357f0c-44ee-4f3b-a39a-851d4f5220b6,"""App liberado para uploads""",pre,false,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
0f654c01-c5b4-49ab-bb20-cdd4f7ebba3a,1e357f0c-44ee-4f3b-a39a-851d4f5220b6,"""PDFs, slides, apps prontos""",pre,false,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
101147e1-69bd-4a17-ac92-ed1890d43fef,1168d1e0-4f46-4970-876e-6dc5f2d1f21c,"""Instrumentos afinados""",pre,false,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
1021beb0-9cae-44e0-9af7-36acfeaf08ef,a7d5335f-94f1-4646-8bc4-cc0c4cd663ea,"""App pronto para receber postagens de encerramento""",pos,false,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
128f9981-01a6-4afb-b9e3-ac59e629cfbf,65e4f168-9b96-41e4-b0e7-a79d090fa7aa,"""Músicas e repertório impresso/disponível""",pre,false,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
1385c3cb-ef8d-451e-9b1b-5a61951759b5,3d52bedb-3cb0-4ccc-86bf-6eddd4632364,"""Sala organizada para livre movimentação""",pre,false,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
13ccfd7d-b063-4fbb-88d3-e20a8efffd16,2a1cd10b-89d2-45f0-a051-93cdf98bc888,"""PDFs liberados no app""",pre,false,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
14549b14-6c54-4e50-970c-b05e58994a86,f925d0ab-4eb4-4502-aad5-5b617d0db260,"""Espaço organizado para gravação""",pre,false,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
1b02645e-d186-4505-ba30-6c199361c10d,37b53845-821a-4d7e-9b13-2598e34a42ff,"""App testado para uploads e feedback""",pre,false,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
1ba355f7-8d9b-46d6-932f-fe3932ec86a2,f4ef0c67-c714-4152-a0c3-644d09d94d9d,"""App da escola testado para uploads""",pre,false,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
1cb1934a-41b8-44db-bfb3-1a1bd2047664,86fcfcbc-59fb-4769-8435-8bc12d2ed432,"""Presença/avaliação prontas para registro""",pre,false,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
1fc2ef9c-6543-45e2-9973-ab8929f4683f,b154f8a4-d7be-40b8-8bde-c64d409bde2b,"""Materiais e links liberados""",pre,false,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
212d08b0-8550-4315-affa-49b362a2148a,923053d3-e54a-4698-9517-a46397c0584c,"""Instrumentos e apps preparados""",pre,false,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
22357442-ab58-44b8-92a5-e906b084e5f7,c368b564-6704-4c95-9d82-b2672babead5,"""Quadro para escrever cifras""",pre,false,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
24eb39f0-bfd7-41de-9cca-646703a9e08c,c368b564-6704-4c95-9d82-b2672babead5,"""PDFs/slides prontos no app""",pre,false,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
277b9edf-174b-48cd-9a5f-d6b197387b61,fe1d98e4-3a4c-4cd2-a68e-b5b3a8e2e51c,"""Materiais revisados e disponíveis""",pre,false,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
2a7f9e5b-c8c7-4ca4-8929-af1d750c4cf7,65e4f168-9b96-41e4-b0e7-a79d090fa7aa,"""App liberado para uploads/comentários""",pre,false,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
