id,instrumento_id,titulo,artista,compositor,ano_performance,video_url,audio_url,genero_musical,dificuldade_execucao,partitura_url,descricao_tecnica,visualizacoes,created_at
00d19b8e-25cb-4271-a17b-7d6bfb84642d,8fbba87d-39e1-4542-b8bb-7c815fdc2b9a,Hilary Hahn - Bach Partita No. 2,Hilary Hahn,Bach,2018,https://youtube.com/watch?v=hahn_bach_partita,,classico,avancado,,"Interpretação moderna de obra barroca clássica, demonstrando como técnicas históricas podem ser revigoradas por artistas contemporâneos.",0,2026-02-13 17:48:24.878397
012998df-cd60-43b0-8242-76f6c8cbd715,e54b748d-3b1b-48ba-b65e-ec1e476e94ad,As Quatro Estações - Primavera,Anne-Sophie Mutter,Vivaldi,1988,https://youtube.com/watch?v=mutter_vivaldi,,barroco,avancado,,"Interpretação virtuosística da obra mais famosa de Vivaldi, destacando a narrativa musical que retrata sons da natureza através do violino.",0,2026-02-13 17:48:24.878397
01818556-aee2-4474-972d-540be4111b96,cca87ab1-8ad4-4876-a8d8-190f85927952,Orange Blossom Special,Mark O Connor,Ervin Rouse,1991,https://youtube.com/watch?v=oconnor_orange,,bluegrass,avancado,,"Versão definitiva do clássico fiddle americano, demonstrando a versatilidade do violino na música popular e técnicas específicas do bluegrass.",0,2026-02-13 17:48:24.878397
01ea18c1-d2ab-4a36-bd9d-917604cc1529,3e02292d-bd2f-46ed-9b9e-a0c8b0acd996,Lindsey Stirling - Crystallize,Lindsey Stirling,Lindsey Stirling,2012,https://youtube.com/watch?v=stirling_crystallize,,eletronica,intermediario,,"Fusão inovadora de violino clássico com música eletrônica e dubstep, criando novo subgênero e inspirando uma geração de violinistas.",0,2026-02-13 17:48:24.878397
03bf1651-15ce-4c3e-9a6a-b492fb6a7133,174f6ed4-3c21-444a-acfa-5149f53f2ca0,Stuff Smith - I se a Muggin,Stuff Smith,Stuff Smith,1936,https://youtube.com/watch?v=stuff_smith_muggin,,jazz,avancado,,"Performance revolucionária que estabeleceu o violino como instrumento legítimo no jazz, com técnicas de swing e improvisação inovadoras.",0,2026-02-13 17:48:24.878397
042b0803-4029-40b2-9945-c659baa44dfb,0b9c8c6b-0e47-471c-b83b-01c931410692,As Quatro Estações - Primavera,Anne-Sophie Mutter,Vivaldi,1988,https://youtube.com/watch?v=mutter_vivaldi,,barroco,avancado,,"Interpretação virtuosística da obra mais famosa de Vivaldi, destacando a narrativa musical que retrata sons da natureza através do violino.",0,2026-02-13 17:48:24.878397
04a5b983-c91f-4d4f-b92f-a00f886a8e12,63ebeaeb-be5d-4c26-a5cf-f59b71423401,Orange Blossom Special,Mark O Connor,Ervin Rouse,1991,https://youtube.com/watch?v=oconnor_orange,,bluegrass,avancado,,"Versão definitiva do clássico fiddle americano, demonstrando a versatilidade do violino na música popular e técnicas específicas do bluegrass.",0,2026-02-13 17:48:24.878397
0525b3dc-7a04-4598-9a02-54f8957cf222,64b94e98-6ad2-4e7f-9aa0-b57f6bb58df1,Jean-Luc Ponty - Enigmatic Ocean,Jean-Luc Ponty,Jean-Luc Ponty,1977,https://youtube.com/watch?v=ponty_enigmatic,,jazz,avancado,,"Performance pioneira de jazz fusion com violino elétrico, expandindo as possibilidades sonoras do instrumento através da eletrônica.",0,2026-02-13 17:48:24.878397
054e0319-abf3-4ce8-a406-4fcdfa186db0,63ebeaeb-be5d-4c26-a5cf-f59b71423401,Jean-Luc Ponty - Enigmatic Ocean,Jean-Luc Ponty,Jean-Luc Ponty,1977,https://youtube.com/watch?v=ponty_enigmatic,,jazz,avancado,,"Performance pioneira de jazz fusion com violino elétrico, expandindo as possibilidades sonoras do instrumento através da eletrônica.",0,2026-02-13 17:48:24.878397
05c69063-7c94-460c-84f0-d4453a660571,cca87ab1-8ad4-4876-a8d8-190f85927952,Concerto para Violino de Tchaikovsky,Itzhak Perlman,Tchaikovsky,1978,https://youtube.com/watch?v=perlman_tchaikovsky,,classico,avancado,,"Performance legendária do concerto mais popular do repertório violinístico, demonstrando técnica impecável e interpretação emocional profunda.",0,2026-02-13 17:48:24.878397
0727cb5e-4056-4c7c-8a66-191acbbbef3f,794f42a6-619a-4ca3-8f1b-c3ac7a9e7a08,Solo moderno,Claire Chase,Improvisação,2021,https://www.youtube.com/watch?v=flauta_perf8,,contemporaneo,avancado,,Uso de multifônicos e efeitos estendidos.,0,2025-06-15 19:44:57.490283
07ad68d5-ba8d-4267-ac62-4357eaeb776e,82052c70-0a9d-4d94-873e-3b402e032f55,Hilary Hahn - Bach Partita No. 2,Hilary Hahn,Bach,2018,https://youtube.com/watch?v=hahn_bach_partita,,classico,avancado,,"Interpretação moderna de obra barroca clássica, demonstrando como técnicas históricas podem ser revigoradas por artistas contemporâneos.",0,2026-02-13 17:48:24.878397
