id,instrumento_id,titulo,conteudo,categoria,imagem_url,video_url,fonte,created_at
0005abdf-11a5-453c-815b-8379a8a32035,df42056c-8a3e-454c-aeca-73b4d608b85c,Coordenação,Separar movimentos (lento → rápido) melhora precisão e controle.,cultural,,,seed_padrao,2026-02-13 18:05:22.013093
00189c62-3374-4bb0-827f-bdf480d8a714,9c3a903d-8750-4ded-9341-c876a6d6de93,Origem,A origem do instrumento se conecta a contextos culturais e musicais específicos.,tecnica,,,seed_padrao,2026-02-13 18:05:22.013093
003ab1e2-2827-4eaf-ac18-eca373786e7a,32705505-7727-4d27-b7bd-b08e7c90c233,Técnica,Pequenos ajustes de postura e coordenação melhoram muito o som e a fluidez.,ciencia,,,seed_padrao,2026-02-13 18:05:22.013093
0053b4f7-9b6c-41d3-807a-0acabbd5e1c6,87ee66bf-bb70-4e70-9aa3-4bff514ced4e,Som,O “bom som” é a soma de técnica + ouvido + consistência.,curiosa,,,seed_padrao,2026-02-13 18:05:22.013093
006085d0-6dd3-4c55-a7a5-f374d76dfb13,fb125188-c48e-4d89-a46e-11c3b600dabd,Audição,Ouvir bons intérpretes ajuda a formar referência de som e musicalidade.,tecnica,,,seed_padrao,2026-02-13 18:05:22.013093
0079a516-4151-450b-b905-2e04d41576aa,fb125188-c48e-4d89-a46e-11c3b600dabd,Aprendizado,"Prática curta e consistente, com objetivo claro, evolui mais rápido.",historia,,,seed_padrao,2026-02-13 18:05:22.013093
0098970e-134d-49b3-8b1e-4f4592fe06ed,6b11dc1a-295f-4458-9c08-2bcec09ff3ec,Técnica,Pequenos ajustes de postura e coordenação melhoram muito o som e a fluidez.,ciencia,,,seed_padrao,2026-02-13 18:05:22.013093
00d600db-b391-46a4-83d3-0329a367fbb2,b7425269-f2bb-454c-8c61-e3e9d028c9b4,Evolução,O progresso vem em ondas: registre e compare para enxergar melhor.,interessante,,,seed_padrao,2026-02-13 18:05:22.013093
00f70250-551a-4b13-85ec-a681de5f5579,0b9c8c6b-0e47-471c-b83b-01c931410692,Expressão,Controle de dinâmica e fraseado dá “voz” ao instrumento.,curiosa,,,seed_padrao,2026-02-13 18:05:22.013093
01212be5-66a1-4dce-b52a-446b4c1a1a32,3702e3f9-bc82-42b6-ae32-c770081b3ec2,Dica,Use metrônomo e grave pequenos trechos para acompanhar sua evolução.,cultural,,,seed_padrao,2026-02-13 18:05:22.013093
012e3f22-a797-412a-aa4d-dba367de3877,b73f1d80-3d73-487e-89b8-ab35274a8dd4,Audição,Ouvir bons intérpretes ajuda a formar referência de som e musicalidade.,tecnica,,,seed_padrao,2026-02-13 18:05:22.013093
01443d04-8085-435b-8e2f-ca725bcbd9aa,b73f1d80-3d73-487e-89b8-ab35274a8dd4,Construção,"Materiais e formato influenciam projeção, brilho e resistência.",factual,,,seed_padrao,2026-02-13 18:05:22.013093
017a4d70-2698-4ffd-aa37-2c9433109832,bc665a4e-e301-44d3-b8bf-decb09422d71,Técnica,Pequenos ajustes de postura e coordenação melhoram muito o som e a fluidez.,ciencia,,,seed_padrao,2026-02-13 18:05:22.013093
017b4fea-91c7-4c63-bb15-529a458f297d,1b699036-0f72-4c48-9801-e01f6f25e165,Construção,"Materiais e formato influenciam projeção, brilho e resistência.",factual,,,seed_padrao,2026-02-13 18:05:22.013093
01e2f20a-3ccd-4dac-af96-1bd4f3894a0b,d7c80fe1-ab43-4920-b2aa-d9b4f3ace166,Técnica,Pequenos ajustes de postura e coordenação melhoram muito o som e a fluidez.,ciencia,,,seed_padrao,2026-02-13 18:05:22.013093
01e5d0d9-134b-4fe6-ad5e-d55f33f96520,ee709f67-e4e4-4f9c-9001-7574e4d8dfa0,Curiosidade,Muitos estilos usam o instrumento de formas bem diferentes — explore isso.,ciencia,,,seed_padrao,2026-02-13 18:05:22.013093
01f4d937-bca3-4416-8f7e-9e97245bc497,7b6ae164-dfdf-452d-a5c3-d01554861444,Coordenação,Separar movimentos (lento → rápido) melhora precisão e controle.,cultural,,,seed_padrao,2026-02-13 18:05:22.013093
02737f45-9e85-4544-aa15-78b53ac94e46,df168c2e-275a-44ed-9ee7-af356bf724e5,Repertório,Há repertório clássico e popular que explora diferentes funções do instrumento.,curiosa,,,seed_padrao,2026-02-13 18:05:22.013093
028b97bb-7ded-4ea0-8a4c-fd9cc1043341,bc665a4e-e301-44d3-b8bf-decb09422d71,Timbre,"O timbre muda bastante com variações de intensidade, ataque e articulação.",cultural,,,seed_padrao,2026-02-13 18:05:22.013093
02a38cb6-2646-4a58-93b2-1e85bf2a3bea,6925f61b-ba48-473a-b69a-e3548036c1df,Audição,Ouvir bons intérpretes ajuda a formar referência de som e musicalidade.,tecnica,,,seed_padrao,2026-02-13 18:05:22.013093
