id,aula_id,descricao,created_at,updated_at
040624b6-c250-4d89-a46f-742a69f24156,0beed730-fa51-467d-9805-9415149ba916,"Grave e poste no app um vídeo cantando ou tocando uma música de louvor, escreva na legenda o que ela representa para você e comente em dois vídeos de colegas.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
0b0cd42e-7679-4070-a4d8-f11c0ba7fe99,c23b8c68-a284-4c6d-82c8-8f54d00b3e00,"Grave um vídeo criando uma “música” só com sons do ambiente (cozinha, quarto, quintal), usando no mínimo 3 objetos diferentes. Poste no app até a próxima aula e comente no vídeo de ao menos 1 colega.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
21390dde-2d84-4c04-9ac1-8360ddacb9cc,ec18f04f-e44f-4a0f-97d1-bb4eadb3931a,Poste no app um trecho do ensaio geral e escreva sobre o que precisa melhorar. Comente no mínimo em dois colegas.,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
2717df29-681e-40e6-ac77-dac5f244c04c,14e59217-40f5-4163-b724-e911314d213a,Poste no app um registro (áudio/vídeo) da música criada em grupo e comente em pelo menos uma música de outro grupo.,2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
3178fbc0-79c6-4dca-9d81-556829c1ac41,65e4f168-9b96-41e4-b0e7-a79d090fa7aa,"Grave um vídeo tocando um novo arranjo brasileiro em grupo, poste no app com legenda explicando a região/estilo e comente no vídeo de outro grupo.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
3705a18e-243a-4009-b851-aa48f391699b,053b763b-5606-42bc-b02a-a94364239a74,"No app, escreva um diário sobre o ensaio (pontos fortes/fracos) e compartilhe uma meta pessoal para a apresentação. Comente em dois colegas.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
39d1c333-f719-4b94-9b00-80a9fb534eb7,a7d5335f-94f1-4646-8bc4-cc0c4cd663ea,"No app, poste uma foto ou vídeo pessoal do show com uma mensagem de encerramento: o que mais aprendeu e o que deseja para o próximo ciclo.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
3e796f30-2aa4-4d84-bec3-61ecafd97a20,9ae951f2-e006-4afd-a07e-1ad588afcd09,"Grave um vídeo mostrando como afina seu instrumento, explique uma dica de manutenção no app e comente no vídeo de outro colega.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
444b4e20-e694-4fb1-ad2e-9d6fe141ec37,59d864ba-84ca-47e1-b31d-b5819021a986,"No app, poste um resumo da sua experiência na roda Alpha, com um ponto de evolução pessoal e uma meta para a apresentação final.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
44ccfcff-2e02-4c47-9d37-bbb19fefe250,2a1cd10b-89d2-45f0-a051-93cdf98bc888,"Poste no app um vídeo curto ensaiando ou apresentando sua música em dupla/banda, coloque o nome do grupo na legenda e comente em duas postagens de colegas.",2025-12-16 00:06:50.606873+00,2025-12-16 00:06:50.606873+00
